county_id,clinic_id,median,mean,max,min,"hotels number
(price available)",
Leon,id_01,$100,$106,$355,$40,53,
Leon,id_02,$99,$106,$355,$45,65,
Alachua,id_03,$124,$138,$283,$72,16,
Alachua,id_04,$105,$122,$283,$59,32,
Duval,id_05,$90,$104,$212,$47,36,
Duval,id_06,$92,$107,$212,$47,33,
Duval,id_07,$90,$102,$212,$47,36,
Duval,id_08,$78,$88,$194,$56,35,
Orange,id_09,$110,$109,$204,$60,19,
Osceola,id_10,$65,$70,$144,$30,29,
Polk,id_11,$109,$110,$200,$61,32,
Seminole,id_12,$80,$101,$220,$47,23,
Hillsborough,id_13,$112,$129,$297,$75,16,
Hillsborough,id_14,$159,$180,$454,$64,65,
Hillsborough,id_15,$102,$121,$296,$69,8,
Hillsborough,id_16,$107,$128,$297,$75,16,
Hillsborough,id_17,$143,$179,$509,$63,35,
Hillsborough,id_18,$121,$135,$345,$57,49,
Pinellas,id_19,$153,$161,$405,$69,83,
Pinellas,id_20,$105,$118,$196,$69,5,
Pinellas,id_21,$117,$156,$699,$60,29,
Pinellas,id_22,$117,$141,$874,$60,63,
Pinellas,id_23,$120,$158,$699,$63,24,
Sarasota,id_24,$223,$265,$959,$98,28,
Sarasota,id_25,$178,$231,$607,$61,31,
Broward,id_26,$104,$120,$316,$46,76,
Broward,id_27,$120,$124,$212,$45,72,
Broward,id_28,$114,$142,"$1,199",$40,66,
Broward,id_29,$109,$124,$328,$40,50,
Broward,id_30,$135,$165,"$1,119",$31,37,
Broward,id_31,$133,$129,$188,$31,21,
Broward,id_32,$107,$114,$316,$49,34,
St. Lucie,id_33,$103,$103,$107,$98,2,
Miami-Dade,id_34,$103,$97,$129,$57,14,
Miami-Dade,id_35,$102,$92,$129,$44,15,
Miami-Dade,id_36,$112,$118,$240,$44,77,
Miami-Dade,id_37,$133,$125,$165,$72,14,
Miami-Dade,id_38,$88,$96,$155,$60,7,
Miami-Dade,id_39,$127,$146,$404,$69,41,
Miami-Dade,id_40,$137,$162,$433,$58,45,
Miami-Dade,id_41,$155,$144,$299,$41,11,
Miami-Dade,id_42,$153,$176,$631,$28,132,
Miami-Dade,id_43,$118,$123,$179,$92,12,
Miami-Dade,id_44,$132,$153,$495,$50,43,
Miami-Dade,id_45,$138,$155,$561,$50,146,
Miami-Dade,id_46,$119,$120,$206,$41,10,
Miami-Dade,id_47,$166,$283,"$2,821",$41,45,
Miami-Dade,id_48,$152,$276,"$2,821",$41,45,
Palm Beach,id_49,$135,$135,$138,$131,2,
Palm Beach,id_50,$181,$186,$494,$76,54,
Palm Beach,id_51,$181,$189,$494,$76,54,
St. Lucie,id_52,$96,$104,$189,$56,13,
Lee,id_53,$123,$128,$259,$69,16,
Miami-Dade,id_54,$124,$124,$179,$95,13,